"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-02 22:00:00","2016-10-02 23:10:00","Board Meeting","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-01 16:45:00","2016-10-01 17:10:00","Format dates for the website from the MFS master calendar","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-01 21:15:00","2016-10-01 21:25:00","Compare with the copy of MFS spreadsheet updating the formatted dates respond to Trello","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-02 06:15:00","2016-10-02 06:20:00","Format dates for the website from the MFS master calendar (USACO dates through April)","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-02 20:10:00","2016-10-02 20:15:00","Add attendance from 10/1/16 Scratch class to main events log","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-02 22:00:00","2016-10-02 23:15:00","Board Meeting taking minutes (also added 5 minutes for recording hours into Voluntu at home)","approved"
"5be933f7-77d1-11e6-9181-f23c9191ab2a","2016-10-02 23:10:00","2016-10-03 00:00:00","Worked on Raspberry Pi Proposal","approved"
"5be933f7-77d1-11e6-9181-f23c9191ab2a","2016-10-25 22:00:00","2016-10-26 00:00:00","Worked on Raspberry Pi Proposal","approved"
"5be933f7-77d1-11e6-9181-f23c9191ab2a","2016-10-18 22:00:00","2016-10-19 00:00:00","Worked on Raspberry Pi Proposal","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-03 05:00:00","2016-10-03 05:25:00","Log T-shirt info in Main Events Log update active volunteer list","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-06 04:00:00","2016-10-06 04:15:00","update website","rejected"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-07 00:00:00","2016-10-07 00:15:00","update website","rejected"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-07 22:15:00","2016-10-07 22:30:00","update website","rejected"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-11 20:00:00","2016-10-11 21:00:00","board meeting","rejected"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-17 22:30:00","2016-10-17 23:15:00","update website","rejected"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-18 00:30:00","2016-10-18 01:15:00","update website facebook","rejected"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-31 06:00:00","2016-10-31 06:30:00","update website","rejected"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-02 22:00:00","2016-10-02 23:00:00","board meeting","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-02 22:00:00","2016-10-02 23:00:00","OC Coder Board Meeting","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-06 00:30:00","2016-10-06 00:50:00","Create sign-in sheets for the October Scratch sessions 10/8 10/15 10/22 10/29. Log participant and volunteer info (name grade school parent's email(for participants))","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-09 01:15:00","2016-10-09 01:40:00","Update main event log for Scratch 10/8: enter participant name volunteer and participant attendance. Create table and log attendance for USACO training session 9/7/16 10/1/16","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-01 23:00:00","2016-10-02 01:00:00","Lead Scratch Lv4 Class","approved"
"5be92f95-77d1-11e6-9181-f23c9191ab2a","2016-10-02 03:00:00","2016-10-02 04:00:00","Email Jason about committing to teaching send out scratch recap email update website misc. outdated dates and text etc.","approved"
